"threads","time"
1,7.24839981794357
2,4.09816177686055
3,3.13193013270696
4,2.71067978938421
5,2.71210705041885
6,2.45220722754796
7,2.22234038114548
8,2.65073873996735
9,2.29921615123749
10,2.24753427902857
11,2.21131037871043
21,2.15726740757624
31,2.15478789806366
41,2.1459469517072
51,2.15020894606908
61,2.14793481826782
71,2.14824368953705
81,2.14980085690816
91,2.152093064785
101,2.16019157171249
111,2.16478407780329
121,2.15102997223536
131,2.14992509682973
141,2.14837238788605
